Contributor,Region,Image URL,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
mauritsvanrees,Netherlands,,1662,2487,570,1267,858,1607,1084,2365,1580,1332,1325
gforcada,Spain,,795,1197,316,676,347,18,19,194,2065,319,630
jensens,Austria,,506,978,591,790,449,235,528,658,373,225,39
tisto,Germany,,1904,173,485,525,360,661,514,286,277,56,86
vangheem,USA,,1673,287,1231,853,526,71,3,6,,,
sneridagh,Spain,,139,50,81,223,76,564,1078,1134,474,570,8
esteele,USA,,1014,357,855,598,443,11,119,73,,,
pbauer,Austria,,693,214,374,1041,289,152,109,366,50,64,4
thet,Austria,,546,651,327,186,106,152,482,473,108,46,99
stevepiercy,USA,,,16,20,6,31,23,196,1073,710,826,240
petschki,Austria,,18,3,1,162,174,46,178,829,595,641,345
MrTango,Other,,48,30,224,269,249,173,243,448,154,82,145
davisagli,Other,,120,64,154,198,,,,276,316,438,280
ericof,Brazil,,,,,3,26,17,306,628,319,242,91
datakurre,Finland,,667,409,258,33,15,19,7,13,3,,
ksuess,Austria,,,,9,23,50,153,207,523,192,62,5
bloodbare,Other,,290,301,3,150,116,193,16,12,11,7,
agitator,Germany,,64,96,109,67,123,115,278,220,2,,
ale-rt,Italy,,,31,26,287,103,56,104,87,44,24,48
smcmahon,Other,,213,202,123,145,77,16,,,,,
erral,Spain,,25,11,28,83,63,39,33,142,85,98,149
fredvd,Belgium,,9,25,7,6,9,9,17,91,297,56,105
ebrehault,Other,,133,89,189,69,15,67,27,4,5,1,
tkimnguyen,USA,,25,90,72,88,107,44,21,22,,45,3
tiberiuichim,Romania,,,,5,,,149,123,150,64,2,
robgietema,Other,,,4,150,256,,14,,38,8,11,
jaroel,Other,,89,9,184,49,35,33,2,1,46,,
loechel,Other,,10,21,241,96,11,,12,4,1,,
vincentfretin,Other,,197,47,8,18,24,77,1,,,,
avoinea,Romania,,6,40,15,39,39,79,61,59,23,5,
tomgross,Other,,178,88,57,31,,,,,,,
1letter,Other,,,,,,3,3,36,69,37,150,15
fulv,Other,,157,12,36,6,15,43,8,,,,
jimbiscuit,Other,,,,,,,,1,266,,,
tschorr,Other,,5,49,50,57,65,20,1,3,9,2,
jnptk,Other,,,,,,,,,35,209,17,
frapell,Argentina,,54,7,19,58,22,7,13,58,12,2,1
gotcha,Other,,147,20,36,4,6,,11,15,3,8,
mpellerin42,Other,,,,,,,8,85,56,42,35,
cekk,Other,,2,,9,92,46,9,23,13,5,8,
polyester,USA,,60,50,25,6,19,3,3,13,13,1,1
masipcat,Other,,,,,7,28,115,28,14,,,
iFlameing,Other,,,,,,,69,70,22,15,6,
ichim-david,Other,,55,5,,,,16,18,6,9,67,
wesleybl,Other,,,,,,,9,19,33,16,87,8
mamico,Italy,,4,,4,5,23,16,11,37,36,21,8
nileshgulia1,Other,,,,,10,,10,47,36,38,23,
buchi,Other,,9,77,40,16,16,3,,,,,
thomasmassmann,Other,,8,,115,19,4,5,1,4,,,
lukasgraf,Other,,8,55,46,27,17,2,,,,,
