username,total_plips,open_plips,closed_plips,repositories_count,repositories,first_plip,last_plip
tisto,61,13,48,3,"plone/Products.CMFPlone, plone/plone.restapi, plone/volto",2013-11-07,2025-01-28
sneridagh,30,14,16,2,"plone/Products.CMFPlone, plone/volto",2014-02-10,2025-02-05
bloodbare,20,0,20,1,plone/Products.CMFPlone,2014-02-10,2015-07-16
ebrehault,17,0,17,1,plone/Products.CMFPlone,2015-05-12,2016-07-13
thet,17,3,14,1,plone/Products.CMFPlone,2014-11-05,2020-11-11
mauritsvanrees,16,6,10,1,plone/Products.CMFPlone,2013-11-13,2025-03-12
tkimnguyen,11,6,5,1,plone/Products.CMFPlone,2015-06-16,2019-12-05
jensens,11,2,9,1,plone/Products.CMFPlone,2015-05-13,2025-02-19
loechel,8,5,3,1,plone/Products.CMFPlone,2016-07-11,2024-12-01
vangheem,7,1,6,1,plone/Products.CMFPlone,2016-03-24,2016-04-14
djay,7,6,1,2,"plone/Products.CMFPlone, plone/volto",2015-04-29,2025-01-08
iham,6,1,5,1,plone/Products.CMFPlone,2017-04-12,2021-08-16
robgietema,6,3,3,3,"plone/Products.CMFPlone, plone/plone.restapi, plone/volto",2017-04-20,2025-07-22
gforcada,6,0,6,1,plone/Products.CMFPlone,2015-10-16,2019-02-17
jcerjak,5,0,5,1,plone/Products.CMFPlone,2014-12-20,2015-05-03
hvelarde,4,0,4,1,plone/Products.CMFPlone,2016-02-04,2017-11-23
pigeonflight,4,2,2,1,plone/Products.CMFPlone,2016-02-28,2021-09-20
pbauer,4,0,4,2,"plone/Products.CMFPlone, plone/volto",2018-03-30,2024-05-16
petschki,3,2,1,1,plone/Products.CMFPlone,2023-04-17,2025-03-21
MrTango,3,1,2,2,"plone/Products.CMFPlone, plone/plone.restapi",2016-01-27,2025-02-14
zopyx,3,0,3,2,"plone/Products.CMFPlone, plone/plone.restapi",2016-09-02,2019-03-03
stevepiercy,3,3,0,1,plone/Products.CMFPlone,2024-01-16,2025-02-03
agitator,3,0,3,1,plone/Products.CMFPlone,2018-09-14,2020-03-02
tiberiuichim,3,1,2,1,plone/volto,2020-05-14,2023-01-20
rodfersou,2,1,1,1,plone/Products.CMFPlone,2016-05-24,2016-05-27
pnicolli,2,1,1,1,plone/volto,2023-11-21,2024-11-30
nileshgulia1,2,1,1,1,plone/volto,2023-01-21,2023-01-22
ale-rt,2,1,1,1,plone/Products.CMFPlone,2020-02-27,2025-02-13
datakurre,2,2,0,1,plone/Products.CMFPlone,2017-01-27,2020-04-23
khink,2,0,2,1,plone/Products.CMFPlone,2014-11-02,2015-01-25
pgrunewald,1,1,0,1,plone/Products.CMFPlone,2025-02-14,2025-02-14
tomgross,1,0,1,1,plone/Products.CMFPlone,2016-03-06,2016-03-06
thomasmassmann,1,1,0,1,plone/Products.CMFPlone,2021-12-19,2021-12-19
santonelli,1,0,1,1,plone/Products.CMFPlone,2019-10-26,2019-10-26
polyester,1,0,1,1,plone/Products.CMFPlone,2014-02-12,2014-02-12
svx,1,0,1,1,plone/Products.CMFPlone,2014-02-10,2014-02-10
rber474,1,1,0,1,plone/Products.CMFPlone,2024-02-25,2024-02-25
rioksane,1,0,1,1,plone/Products.CMFPlone,2016-01-08,2016-01-08
staeff,1,0,1,1,plone/Products.CMFPlone,2019-02-28,2019-02-28
rohnsha0,1,1,0,1,plone/Products.CMFPlone,2025-05-30,2025-05-30
JeffersonBledsoe,1,1,0,1,plone/volto,2024-08-16,2024-08-16
mtrebron,1,0,1,1,plone/Products.CMFPlone,2019-11-10,2019-11-10
leandromontenegromachado,1,0,1,1,plone/volto,2024-11-28,2024-11-28
Rudd-O,1,0,1,1,plone/Products.CMFPlone,2022-02-01,2022-02-01
SaraBianchi,1,1,0,1,plone/volto,2024-12-27,2024-12-27
Shriyanshagro,1,0,1,1,plone/plone.restapi,2017-06-28,2017-06-28
Wagner3UB,1,1,0,1,plone/volto,2024-11-28,2024-11-28
avoinea,1,0,1,1,plone/volto,2020-03-19,2020-03-19
b4oshany,1,0,1,1,plone/Products.CMFPlone,2019-01-28,2019-01-28
bsuttor,1,1,0,1,plone/Products.CMFPlone,2025-01-09,2025-01-09
davisagli,1,0,1,1,plone/Products.CMFPlone,2014-02-25,2014-02-25
ericof,1,0,1,1,plone/Products.CMFPlone,2023-10-10,2023-10-10
erral,1,1,0,1,plone/volto,2023-12-07,2023-12-07
esteele,1,0,1,1,plone/Products.CMFPlone,2017-07-05,2017-07-05
fgrcon,1,0,1,1,plone/Products.CMFPlone,2016-08-30,2016-08-30
fredvd,1,0,1,1,plone/Products.CMFPlone,2013-11-13,2013-11-13
fulv,1,1,0,1,plone/Products.CMFPlone,2016-10-22,2016-10-22
ghost,1,0,1,1,plone/Products.CMFPlone,2016-03-22,2016-03-22
giuliaghisini,1,0,1,1,plone/volto,2020-01-07,2020-01-07
gogobd,1,1,0,1,plone/Products.CMFPlone,2016-10-21,2016-10-21
jaroel,1,0,1,1,plone/Products.CMFPlone,2018-06-24,2018-06-24
jnptk,1,1,0,1,plone/volto,2025-05-27,2025-05-27
jladage,1,0,1,1,plone/Products.CMFPlone,2024-03-26,2024-03-26
